date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:41	20/20	---MCZ	200	added ('OK')	text/plain	date:Tue,%2024%20Dec%202024%2000:45:42%20GMT	https://ribbon-finance.webflow.io/robots.txt		(from )
16:45:41	31648/31648	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202024%2000:38:07%20GMT	https://ribbon-finance.webflow.io/	C:/Users/mkhal/OneDrive/Desktop/LARP/ribbon/ribbon-finance.webflow.io/index.html	(from )
16:45:42	61598/61598	---M-Z	200	added ('OK')	text/css	etag:%22c77464e25aa55b4b1a4899d223fa1c87%22	https://assets.website-files.com/61dc30b88f91391a2061b3a2/css/ribbon-finance.9dbfbab96.css	C:/Users/mkhal/OneDrive/Desktop/LARP/ribbon/assets.website-files.com/61dc30b88f91391a2061b3a2/css/ribbon-finance.9dbfbab96.css	(from https://ribbon-finance.webflow.io/)
16:45:42	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/mkhal/OneDrive/Desktop/LARP/ribbon/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://ribbon-finance.webflow.io/)
16:45:42	952/952	---M--	200	added ('OK')	image/png	etag:%2247bb6c3ce2686aa6618f9a216929ebaf%22	https://assets.website-files.com/61dc30b88f91391a2061b3a2/6217be975327dac69f1da7b1_favicon-32x32.png	C:/Users/mkhal/OneDrive/Desktop/LARP/ribbon/assets.website-files.com/61dc30b88f91391a2061b3a2/6217be975327dac69f1da7b1_favicon-32x32.png	(from https://ribbon-finance.webflow.io/)
16:45:43	10071/10071	---M--	200	added ('OK')	image/png	etag:%22ed30bcf7a38e78302ce2a34c6e04ca39%22	https://assets.website-files.com/61dc30b88f91391a2061b3a2/6217be9e060ef84466ee0bdd_ms-icon-310x310.png	C:/Users/mkhal/OneDrive/Desktop/LARP/ribbon/assets.website-files.com/61dc30b88f91391a2061b3a2/6217be9e060ef84466ee0bdd_ms-icon-310x310.png	(from https://ribbon-finance.webflow.io/)
16:45:43	392/392	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22759c49e5854afe351ef884213ad5bbe2%22	https://assets.website-files.com/61dc30b88f91391a2061b3a2/61dc3622b01374de8acf223c_asset%205.svg	C:/Users/mkhal/OneDrive/Desktop/LARP/ribbon/assets.website-files.com/61dc30b88f91391a2061b3a2/61dc3622b01374de8acf223c_asset%205.svg	(from https://ribbon-finance.webflow.io/)
16:45:43	1255/1255	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d3d5eef0ecc5e844da5ea703ce4d202d%22	https://assets.website-files.com/61dc30b88f91391a2061b3a2/61dc3622dc67ea550cc31028_asset%206.svg	C:/Users/mkhal/OneDrive/Desktop/LARP/ribbon/assets.website-files.com/61dc30b88f91391a2061b3a2/61dc3622dc67ea550cc31028_asset%206.svg	(from https://ribbon-finance.webflow.io/)
16:45:43	597/597	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b2021307801ed04453def355fd7cf313%22	https://assets.website-files.com/61dc30b88f91391a2061b3a2/61dd942767ad5e18565d6ddd_avax%20logo.svg	C:/Users/mkhal/OneDrive/Desktop/LARP/ribbon/assets.website-files.com/61dc30b88f91391a2061b3a2/61dd942767ad5e18565d6ddd_avax%20logo.svg	(from https://ribbon-finance.webflow.io/)
16:45:43	2069/2069	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f92890de8d6512e2597d378f00254e71%22	https://assets.website-files.com/61dc30b88f91391a2061b3a2/61dd9a53ad4d575a4782e80e_bitcoin-btc-logo.svg	C:/Users/mkhal/OneDrive/Desktop/LARP/ribbon/assets.website-files.com/61dc30b88f91391a2061b3a2/61dd9a53ad4d575a4782e80e_bitcoin-btc-logo.svg	(from https://ribbon-finance.webflow.io/)
